timestamp,round,global_macro_f1,global_weighted_f1,smishing_fnr,smishing_fpr
2026-05-07 20:39,1,0.5342,0.6542,1.0,0.0
2026-05-07 20:41,2,0.562,0.6753,0.9656,0.0017
2026-05-07 20:43,3,0.5773,0.6866,0.9435,0.0021
2026-05-07 20:45,4,0.5858,0.6936,0.9339,0.0017
2026-05-07 20:47,5,0.6074,0.709,0.8994,0.003
2026-05-07 21:17,1,0.6985,0.7744,0.6901,0.0301
2026-05-07 21:20,2,0.6878,0.7662,0.7039,0.0326
2026-05-07 21:24,3,0.6868,0.766,0.7121,0.0314
2026-05-07 21:28,4,0.6853,0.7647,0.6997,0.0394
2026-05-07 21:31,5,0.6788,0.7602,0.73,0.0314
2026-05-07 21:35,6,0.6806,0.7611,0.7176,0.0352
2026-05-07 21:38,7,0.6867,0.7654,0.6928,0.0411
2026-05-07 21:42,8,0.6838,0.763,0.7011,0.0394
2026-05-07 21:46,9,0.6826,0.7624,0.6983,0.0437
2026-05-07 21:49,10,0.6838,0.7632,0.6997,0.0415
2026-05-07 22:45,1,0.6307,0.7219,0.8264,0.0178
2026-05-07 22:48,2,0.6798,0.7588,0.7287,0.0246
2026-05-07 22:50,3,0.6875,0.7656,0.7149,0.0276
2026-05-07 22:53,4,0.6945,0.771,0.7011,0.0288
2026-05-07 22:55,5,0.6997,0.7748,0.6804,0.0331
2026-05-07 22:57,6,0.7108,0.7819,0.6309,0.0424
2026-05-07 23:00,7,0.7223,0.7907,0.5716,0.0581
2026-05-07 23:02,8,0.7142,0.7852,0.6116,0.05
2026-05-07 23:04,9,0.7126,0.7835,0.5964,0.0577
2026-05-07 23:07,10,0.7045,0.7781,0.6088,0.0627
2026-05-07 23:15,1,0.5332,0.6383,0.0275,0.3133
2026-05-07 23:21,2,0.5466,0.6517,0.0234,0.3095
2026-05-07 23:26,3,0.557,0.6605,0.0207,0.3069
2026-05-07 23:28,4,0.5624,0.6654,0.0248,0.309
2026-05-07 23:30,5,0.5635,0.6666,0.0193,0.3095
2026-05-07 23:33,6,0.5778,0.6774,0.0248,0.3006
2026-05-07 23:35,7,0.5761,0.6758,0.0262,0.2989
2026-05-07 23:37,8,0.5743,0.6751,0.0248,0.3035
2026-05-07 23:40,9,0.5832,0.682,0.0275,0.3006
2026-05-07 23:42,10,0.5951,0.691,0.0331,0.2916
2026-05-07 23:48,1,0.538,0.6444,0.022,0.3103
2026-05-07 23:54,2,0.5467,0.6518,0.0207,0.3044
2026-05-07 23:59,3,0.5611,0.6635,0.0207,0.2967
2026-05-08 00:05,4,0.5629,0.6648,0.0234,0.2938
2026-05-08 00:10,5,0.5809,0.6789,0.0303,0.284
2026-05-08 00:16,6,0.5796,0.6775,0.0262,0.284
2026-05-08 00:21,7,0.5847,0.6813,0.0275,0.2836
2026-05-08 00:27,8,0.6027,0.6952,0.0275,0.276
2026-05-08 00:32,9,0.6203,0.7089,0.0358,0.2662
2026-05-08 00:38,10,0.6266,0.7133,0.0551,0.2586
2026-05-08 01:33,1,0.5758,0.6832,0.9353,0.0042
2026-05-08 01:36,2,0.6352,0.7271,0.8388,0.0089
2026-05-08 01:41,3,0.6459,0.7362,0.8264,0.0089
2026-05-08 01:44,1,0.6256,0.7176,0.8347,0.017
2026-05-08 01:47,4,0.6653,0.7503,0.7879,0.0114
2026-05-08 01:51,2,0.6973,0.7711,0.6736,0.0331
2026-05-08 01:53,5,0.6634,0.7488,0.792,0.0102
2026-05-08 01:57,3,0.7122,0.7826,0.624,0.0445
2026-05-08 02:00,6,0.6823,0.7626,0.7452,0.0178
2026-05-08 02:03,4,0.6987,0.7729,0.6625,0.0407
2026-05-08 02:06,7,0.694,0.7712,0.7039,0.0284
2026-05-08 02:09,5,0.7005,0.7747,0.6625,0.0394
2026-05-08 02:11,8,0.6687,0.753,0.7645,0.0229
2026-05-08 02:15,6,0.7172,0.7866,0.5854,0.0577
2026-05-08 02:17,9,0.6726,0.7555,0.7466,0.028
2026-05-08 02:20,7,0.7098,0.7812,0.5964,0.0606
2026-05-08 02:23,10,0.6708,0.7546,0.7452,0.0326
2026-05-08 02:24,8,0.7069,0.7797,0.6377,0.0458
2026-05-08 02:27,9,0.7102,0.7817,0.6116,0.053
2026-05-08 02:29,10,0.7158,0.7857,0.5785,0.0615
2026-05-08 02:33,1,0.5714,0.6802,0.9435,0.003
2026-05-08 02:37,1,0.6172,0.7115,0.854,0.0127
2026-05-08 02:38,2,0.6314,0.7245,0.8471,0.0081
2026-05-08 02:43,2,0.6865,0.7631,0.7094,0.0259
2026-05-08 02:44,3,0.6417,0.7336,0.8375,0.0076
2026-05-08 02:49,3,0.706,0.778,0.646,0.0398
2026-05-08 02:50,4,0.6686,0.7527,0.781,0.0123
2026-05-08 02:54,4,0.6937,0.7696,0.6997,0.0271
2026-05-08 02:56,5,0.6655,0.7505,0.7893,0.0106
2026-05-08 03:00,5,0.692,0.7691,0.7052,0.028
2026-05-08 03:01,6,0.6842,0.7641,0.741,0.0178
2026-05-08 03:06,6,0.7055,0.7783,0.6377,0.0454
2026-05-08 03:07,7,0.6885,0.7672,0.7135,0.0292
2026-05-08 03:11,7,0.7022,0.7758,0.635,0.0513
2026-05-08 03:12,8,0.6773,0.759,0.7438,0.0242
2026-05-08 03:16,8,0.6932,0.7699,0.6846,0.0377
2026-05-08 03:17,9,0.6767,0.7585,0.7369,0.0292
2026-05-08 03:22,9,0.6943,0.7707,0.6736,0.042
2026-05-08 03:23,10,0.6735,0.7565,0.741,0.0318
2026-05-08 03:25,10,0.7046,0.7781,0.6364,0.0487
2026-05-08 10:15,1,0.6256,0.7176,0.8347,0.017
2026-05-08 10:18,2,0.6973,0.7711,0.6736,0.0331
2026-05-08 10:20,3,0.7122,0.7826,0.624,0.0445
2026-05-08 10:22,4,0.6987,0.7729,0.6625,0.0407
2026-05-08 10:24,5,0.7005,0.7747,0.6625,0.0394
2026-05-08 10:27,6,0.7172,0.7866,0.5854,0.0577
2026-05-08 10:29,7,0.7098,0.7812,0.5964,0.0606
2026-05-08 10:31,8,0.7069,0.7797,0.6377,0.0458
2026-05-08 10:34,9,0.7102,0.7817,0.6116,0.053
2026-05-08 10:36,10,0.7158,0.7857,0.5785,0.0615
2026-05-08 10:38,11,0.7123,0.7834,0.6061,0.0538
2026-05-08 10:40,12,0.7131,0.7839,0.5895,0.0606
2026-05-08 10:43,13,0.7135,0.7842,0.562,0.0721
2026-05-08 10:45,14,0.7093,0.7814,0.6088,0.0564
2026-05-08 10:47,15,0.7159,0.7857,0.562,0.0687
2026-05-08 10:50,16,0.7147,0.7853,0.5744,0.0657
2026-05-08 10:52,17,0.7177,0.7876,0.5468,0.0755
2026-05-08 10:55,18,0.7112,0.7826,0.5702,0.0708
2026-05-08 10:57,19,0.7128,0.7836,0.5716,0.0699
2026-05-08 10:59,20,0.7044,0.7777,0.5964,0.0687
2026-05-08 11:09,1,0.6256,0.7176,0.8347,0.017
